experiment_id,policy,workload,seed,repetition,function,sla_compliance,cold_start_rate,p50_latency,p95_latency,p99_latency,p95_queue,container_seconds,invocation_count
mpc_periodic_001_505,mpc,periodic_001,505,5,hello,50.00,7.46,996.34,2986.75,3254.53,2676.72,340.22,134
adaptive_periodic_001_505,adaptive,periodic_001,505,5,hello,42.45,5.04,1207.67,2789.76,3165.60,2408.35,242.27,139
reactive_mixed_001_505,reactive,mixed_001,505,5,hello,44.93,18.84,1119.31,2987.76,3835.13,1999.58,260.47,69
reactive_mixed_001_505,reactive,mixed_001,505,5,compute,63.51,12.16,740.92,2293.55,3264.43,1903.63,251.91,74
predictive_ema_mixed_001_505,predictive_ema,mixed_001,505,5,compute,0.00,100.00,2749.71,4590867.56,5508431.97,2557.09,50.00,5
predictive_ema_mixed_001_505,predictive_ema,mixed_001,505,5,hello,0.00,100.00,2956.89,3086.52,3098.04,2338.82,20.00,2
predictive_hybrid_mixed_001_505,predictive_hybrid,mixed_001,505,5,hello,51.79,17.86,983.80,3333.28,3609.39,2606.40,235.71,56
predictive_hybrid_mixed_001_505,predictive_hybrid,mixed_001,505,5,compute,53.70,14.81,924.87,3896.77,4295.79,3052.59,192.91,54
mpc_mixed_001_505,mpc,mixed_001,505,5,hello,83.33,9.80,628.05,1505.03,1935.65,1060.31,272.26,102
adaptive_mixed_001_505,adaptive,mixed_001,505,5,compute,54.55,7.79,919.03,1984.41,2160.91,1602.55,150.80,77
adaptive_mixed_001_505,adaptive,mixed_001,505,5,hello,45.45,6.49,1114.83,2251.88,2491.61,1960.91,143.04,77
